address,price,area_in_m2,num_of_rooms,features
1051 GD Amsterdam (Staatsliedenbuurt),"€1,750 per month",45,2,Upholstered
1054 BM Amsterdam (Helmersbuurt),"€2,150 per month",68,3,Upholstered
1054 LB Amsterdam (Overtoomse Sluis),"€2,350 per month",50,3,Furnished
1018 TZ Amsterdam (Weesperbuurt/Plantage),"€1,650 per month",57,2,Furnished
1013 LB Amsterdam (Haarlemmerbuurt),"€2,250 per month",63,3,Upholstered
1031 AG Amsterdam (Volewijck),"€1,600 per month",75,3,
1011 CM Amsterdam (Nieuwmarkt/Lastage),"€3,250 per month",91,4,Furnished
1072 SH Amsterdam (Nieuwe Pijp),"€2,250 per month",72,3,Furnished
1077 TA Amsterdam (Apollobuurt),"€3,000 per month",120,4,Upholstered
1106 VS Amsterdam (Holendrecht/Reigersbos),"€1,600 per month",60,3,Furnished
1082 EH Amsterdam (Buitenveldert-West),"€1,650 per month",75,3,
1053 TT Amsterdam (Kinkerbuurt),"€2,200 per month",64,4,
1072 LR Amsterdam (Oude Pijp),"€1,825 per month",52,2,Furnished
1078 RB Amsterdam (IJselbuurt),"€1,250 per month",35,2,
1055 CZ Amsterdam (Erasmuspark),"€2,150 per month",85,3,Furnished
1053 HL Amsterdam (Van Lennepbuurt),"€1,750 per month",40,2,Furnished
1075 EE Amsterdam (Willemspark),"€2,950 per month",90,3,
1013 NJ Amsterdam (Spaarndammer- en Zeeheldenbuurt),"€2,500 per month",83,2,Furnished
1059 BD Amsterdam (Hoofddorppleinbuurt),"€3,750 per month",115,5,Upholstered
1074 EK Amsterdam (Nieuwe Pijp),"€2,950 per month",77,3,Upholstered
1055 MV Amsterdam (Landlust),"€3,975 per month",110,5,
1056 EG Amsterdam (Van Galenbuurt),"€1,595 per month",49,3,Upholstered
1018 RN Amsterdam (Oostelijke Eilanden/Kadijken),"€2,200 per month",75,3,Furnished
1057 RJ Amsterdam (Hoofdweg e.o.),"€1,850 per month",55,3,Upholstered or furnished
1015 AC Amsterdam (Grachtengordel-West),"€2,750 per month",75,3,Upholstered
1054 BM Amsterdam (Helmersbuurt),"€2,250 per month",68,3,Upholstered
1054 BM Amsterdam (Helmersbuurt),"€4,000 per month",122,4,Upholstered
1032 BG Amsterdam (Volewijck),"€1,600 per month",70,3,Furnished
1018 NB Amsterdam (Oostelijke Eilanden/Kadijken),"€2,650 per month",80,3,Furnished
1015 GS Amsterdam (Jordaan),"€2,300 per month",57,3,Furnished
1071 RV Amsterdam (Museumkwartier),"€4,250 per month",107,4,Upholstered
1018 TM Amsterdam (Weesperbuurt/Plantage),"€1,850 per month",55,2,
1091 KW Amsterdam (Transvaalbuurt),"€1,800 per month",48,2,Furnished
1025 AR Amsterdam (Buikslotermeer),"€2,500 per month",130,3,
1079 WJ Amsterdam (Rijnbuurt),"€2,750 per month",115,4,Upholstered
1017 HX Amsterdam (Grachtengordel-Zuid),"€2,500 per month",70,3,Furnished
1054 EA Amsterdam (Overtoomse Sluis),"€3,100 per month",70,3,Furnished
1056 RH Amsterdam (Van Galenbuurt),"€1,850 per month",65,3,Furnished
1073 BK Amsterdam (Oude Pijp),"€2,145 per month",70,2,Furnished
1072 TS Amsterdam (Oude Pijp),"€1,695 per month",55,3,
1053 RR Amsterdam (Kinkerbuurt),"€2,350 per month",77,3,Furnished
1082 MK Amsterdam (Zuidas),"€3,400 per month",110,3,Furnished
1024 SJ Amsterdam (Waterlandpleinbuurt),"€1,950 per month",68,3,Upholstered or furnished
1015 HL Amsterdam (Jordaan),"€1,150 per month",40,1,Upholstered or furnished
1068 ZZ Amsterdam (Osdorp-Oost),"€1,910 per month",166,4,
"1102 SR Amsterdam (Bijlmer Centrum (D,F,H))","€1,950 per month",102,3,Furnished
1018 PR Amsterdam (Oostelijke Eilanden/Kadijken),"€1,950 per month",80,3,Furnished
1018 HJ Amsterdam (Weesperbuurt/Plantage),"€3,450 per month",140,5,Furnished
1054 JD Amsterdam (Helmersbuurt),"€2,500 per month",87,3,Upholstered
1017 NC Amsterdam (De Weteringschans),"€2,000 per month",120,3,Upholstered
1011 EG Amsterdam (Nieuwmarkt/Lastage),"€1,950 per month",52,3,Upholstered
1073 EX Amsterdam (Nieuwe Pijp),"€2,450 per month",57,3,Upholstered or furnished
1016 AV Amsterdam (Grachtengordel-West),"€3,250 per month",170,4,Upholstered
1015 GC Amsterdam (Grachtengordel-West),"€2,850 per month",138,3,
1031 HD Amsterdam (Noordelijke IJ-oevers West),"€1,950 per month",48,1,Furnished
1098 GB Amsterdam (Middenmeer),"€3,250 per month",106,4,Upholstered
1074 CZ Amsterdam (Oude Pijp),"€3,250 per month",178,5,
1059 AV Amsterdam (Hoofddorppleinbuurt),"€2,500 per month",90,3,Furnished
1094 HN Amsterdam (Indische Buurt West),"€1,750 per month",46,2,Furnished
1060 TX Amsterdam (Middelveldsche Akerpolder),"€2,250 per month",96,4,Furnished
1016 TJ Amsterdam (Jordaan),"€2,850 per month",119,3,Furnished
1058 HH Amsterdam (Hoofddorppleinbuurt),"€2,500 per month",85,4,Furnished
1015 BK Amsterdam (Grachtengordel-West),"€2,200 per month",60,2,Furnished
1016 RN Amsterdam (Jordaan),"€4,350 per month",150,5,Furnished
1016 BH Amsterdam (Grachtengordel-West),"€2,850 per month",123,3,Furnished
1058 CX Amsterdam (Westindische Buurt),"€1,700 per month",59,3,Upholstered
1056 ET Amsterdam (Geuzenbuurt),"€1,800 per month",63,2,Furnished
1058 XX Amsterdam (Westindische Buurt),"€2,850 per month",90,4,
1087 JE Amsterdam (IJburg West),"€2,200 per month",124,4,Upholstered or furnished
1017 SC Amsterdam (De Weteringschans),"€2,150 per month",68,2,Upholstered
1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken),"€1,699 per month",43,2,Furnished
1017 EB Amsterdam (Grachtengordel-Zuid),"€2,750 per month",65,2,Furnished
